Q099-ZN17,1733,,,,,
Q343,1803,,,,,
Q317,1785,,,,,
Q051-01,1715,,,,,
B125-ZN02,2041,Yes,No Heat,,,
R109-01,1897,,,,,
R067,1887,,,,,
M158,1612,,,,,
B082-ZN02,1377,,,,,
B100,1382,,,,,
B073-ZN28,1372,Yes,Seasonal,,,
R024,1863,,,Yes,Closed permanently,
B150,1406,,,,,
B224,1444,,,,,
X004-02,1906,,,,,
B054-01,1356,Yes,No heat,Yes,Repairs,
B208,1428,,,,,
M015,1549,,,,,
Q356,1812,,,,,
X196-02,2005,,,,,
Q012-ZN01,1683,,,,,
X136-01,1971,,,,,
Q163-ZN05B,1760,Yes,Seasonal,,,
M079,1584,,,,,
X010-ZN01,1916,,,,,
B300,1487,,,,,
Q347,1807,,,,,
B348,1510,,,,,
B285,1479,,,,,
M220,1633,,,,,
Q423,1845,,,,,
B058-ZN01,1361,,,,,
B082-ZN05,1379,Yes,No heat,,,
M056-02,1565,,,,,
M165,1616,,,Yes,No power,
X255,2020,,,,,
X150J-01,1976,,,,,
X040,1936,,,,,
M360-ZN01,2038,,,,,
Q436,1851,,,,,
Q450,1854,,,Yes,Repairs,
Q022,1702,,,,,
M234,1640,,,,,
M010-145,1529,,,,,
X004-03,1907,,,,,
Q329,1792,,,,,
X044,1938,,,,,
B110,1386,,,,,
Q162-ZN04B,2048,Yes,Seasonal,,,
Q300A-01,1776,,,,,
Q266,1772,,,,,
B230,1447,,,,,
X092-ZN11,1953,,,,,
M088,1590,,,,,
B253,1461,,,,,
R090,1894,,,,,
BT15,2052,,,,,
X092-ZN07,1952,Yes,Desolate,,,
Q363,1821,,,,,
B334,1502,,,,,
Q399,1837,,,,,
Q095,1724,,,,,
B125-01,1392,,,,,
M010-031,1526,,,,,
R034,1870,,,Yes,Construction,
B216,1435,,,,,
M238,1644,,,,,
M037-03,1559,,,,,
X266,2022,,,,,
M019,1552,,,,,
M231,1638,,,,,
M042-01,1562,,,,,
Q212,1767,,,,,
B235,1450,,,,,
X116,1964,,,,,
X162,1984,,,,,
Q476,1856,,,,,
Q390,1832,Yes,No Gas,,,
B001,1336,,,,,
Q024-02,1704,,,,,
Q354,1811,,,,,
X020,1922,,,,,
Q304,2033,,,,,
B087-01,1380,,,,,
R046-06,1876,Yes,Seasonal,,,
X174,1993,,,,,
X168,1988,,,,,
X232,2018,,,,,
R046-ZN01,1877,,,,,
Q406,1840,,,Yes,Abandoned,
X011-ZN01,1918,,,Yes,Abandoned,
Q328,1791,Yes,No gas,,,
Q099-ZN20,1735,,,,,
M056-01,1564,,,,,
X002-ZN04,2043,,,,,
B345,1508,,,Yes,DEP/Sewer,
M028-ZN04,2060,,,,,
Q021-ZN03,1701,,,,,
Q396,1834,Yes,No gas,,,
M211A,1627,,,,,
B113A,1388,,,,,
X148M1,1975,,,,,
M008,1524,,,,,
B339,1505,,,,,
B320,1498,,,,,
Q371-01,1825,,,Yes,No power,
B169-ZN02B,1416,Yes,No heat,,,
R046-ZN02,1878,,,,,
B225,1445,,,,,
X013-01,1919,,,,,
B274,1475,,,Yes,Capital,
X108,1959,,,,,
Q046,1711,,,,,
B142,1403,,,,,
M018,1551,,,,,
Q099-18,1729,,,,,
B080,1376,Yes,No power,,,
B220,1437,,,,,
B223R,1443,,,Yes,DEP/Sewer,
X008-ZN01,1909,,,,,
X092-ZN12,1954,Yes,Desolate,,,
Q128,1750,,,,,
Q351,1810,,,,,
X118-02,1965,,,,,
M237,1643,,,,,
R069,1889,,,,,
B316,1497,,,,,
M010-ZN18&19,1535,,,,,
M193,1621,,,,,
Q066B,1718,Yes,No gas,,,
M071-03,1570,,,,,
Q126,1748,,,,,
X009,1910,,,Yes,Abandoned,
R105,1895,,,Yes,Closed permanently,
Q015-ZN07,1693,Yes,Seasonal,,,
X197,2006,,,,,
M010-195,1530,Yes,No heat,,,
Q129,1751,,,,,
B060-01,1363,,,,,
Q319,1787,,,,,
B296,1484,,,Yes,No power,
M226,1635,,,,,
B329-01,1501,,,,,
B019,1343,,,,,
Q107-01,1743,,,,,
Q367,1823,,,,,
Q005-ZN03,1674,,,,,
Q448-01,2055,,,,,
B073-ZN14,1369,,,,,
Q004-01,1665,Yes,No gas,Yes,Repairs,
Q005-11,1672,,,,,
M071-ZN17,1576,,,,,
B012-02,1339,,,,,
Q015-ZN06,1692,Yes,Seasonal,,,
B223JB,1441,Yes,No Heat,,,
Q102-02,1737,,,,,
M186,1617,,,,,
B237,1452,,,Yes,Closed to public,
Q106,1741,,,Yes,Capital,
M010-ZN40,1541,,,,,
B077-01,1374,,,,,
M009,1525,,,,,
X188,2001,,,,,
Q008-02,1679,,,,,
R022-04,1862,,,,,
X201-01,2008,,,,,
R046-ZN03,1879,Yes,Seasonal,,,
B073-20,1367,,,,,
M099,1594,,,,,
R031-ZN02,1868,,,,,
X200,2007,,,,,
B111,1387,,,,,
M229,1636,,,,,
M105,1598,,,,,
X112,1961,,,,,
Q320,1788,,,,,
X161,1983,,,,,
M386,1657,,,,,
B052-01,1355,,,,,
B232,1448,,,,,
X157,1980,,,,,
B129-ZN01,1396,Yes,No heat,,,
M251,1649,,,,,
Q082,1720,,,,,
Q339,1800,,,,,
B061,1364,,,,,
M071-31,1575,,,,,
B007,1337,,,,,
B193,1425,,,,,
B362,1516,,,Yes,Repairs,
M076,1580,,,,,
R089,1893,,,,,
Q426,1847,,,,,
M144-ZN03,1608,,,,,
X113,1962,,,,,
Q360M,1817,,,,,
X030-ZN01,1924,,,,,
B254,1462,,,,,
M154,1611,,,,,
M081-ZN02,1587,,,,,
Q448-ZN02A,1853,,,,,
R005-ZN01,1858,,,,,
B292,1482,Yes,No Heat,,,
X163,1985,,,,,
B210J,1431,,,,,
Q067A,1719,,,,,
X034-ZN01,1929,,,,,
M259,1652,,,,,
M190,1619,,,,,
X121,1966,,,,,
Q445-01,1852,,,Yes,No Power,
Q099-ZN19,1734,,,,,
M027,1554,,,,,
X344,2025,,,,,
M005-ZN02,1523,,,,,
X039-01,1930,,,,,
B114,1389,,,Yes,Closed to public,
Q027-02,1707,,,,,
X122,1967,,,,,
M028-ZN02A,1556,,,Yes,Capital,
B016,1340,,,,,
M081-ZN01,1586,,,,,
R038A,1873,,,,,
Q387A,1830,,,,,
M300,1654,,,,,
M028-02,1555,,,,,
R065-ZN03,1885,,,,,
R068,1888,,,Yes,Construction,
M071-08,1572,,,,,
Q336,1797,,,,,
X169,1989,,,,,
Q134,1753,,,,,
X030-ZN02,1925,,,,,
M041,1561,,,,,
X118-ZN04,2039,,,,,
Q378,1828,,,,,
B275,1476,,,Yes,DEP/Sewer,
B308,1492,,,,,
M014-02,1546,,,,,
B043,1352,,,,,
M010-ZN42&43,1542,,,,,
B306,1490,,,,,
B246,1455,,,Yes,Capital,
B140,1401,,,Yes,DEP/Sewer,
B128,1395,,,,,
M029-02,1557,,,,,
Q221,1770,,,,,
B057-06,1359,,,,,
Q015-02,1686,,,,,
X032,1926,,,Yes,Abandoned,
Q131-01,1752,,,,,
R087,1892,,,,,
M236,1642,,,,,
Q389,1831,Yes,No electric,Yes,No Power,
M056-ZN01,1567,,,,,
X087,1945,,,,,
B169-ZN04B,1418,Yes,Seasonal,,,
B127,1394,,,,,
X176,1995,,,,,
R063,1883,,,,,
B008,1338,,,,,
B335,1503,,,,,
B307,1491,,,,,
Q330,1793,,,,,
B223B,1439,,,,,
X002-05A,1902,,,,,
Q360J,1816,,,,,
B073-ZN28,1371,,,,,
M223,1634,,,,,
X177,1996,,,,,
X010-08,1911,,,,,
Q001-ZN02,1663,,,,,
Q005-05,1669,,,,,
X166,1987,,,,,
Q119,1745,,,,,
B103,1384,Yes,No heat,,,
Q005-ZN04,1675,,,,,
Q342,1802,,,,,
Q050-ZN08A,1713,,,,,
Q021-03,1698,,,,,
Q425,1846,,,,,
B017,1341,,,,,
M104-ZN01,1595,,,,,
M058-ZN01,1568,,,Yes,Construction,
X152,1978,,,,,
Q348,1808,,,,,
Q302,1779,,,,,
Q322,1789,,,,,
X160,1982,,,,,
M010-145,1528,,,,,
Q385,1829,,,,,
B207,1427,,,,,
Q021-ZN01,2040,,,,,
B271,1473,,,,,
B266,1469,,,,,
B294,1483,,,,,
M010-ZN20,1537,Yes,No heat,,,
M081-02,1585,,,,,
Q211,1766,Yes,No gas,,,
X204,2011,,,,,
X039-ZN18,1935,Yes,Seasonal,,,
X263,2021,,,,,
R106-01,1896,,,,,
B210W,1432,,,,,
M010-ZN46,1543,Yes,No heat,,,
M144-ZN06,1610,,,,,
Q220C,1769,,,Yes,DEP/Sewer,
B018-ZN01,1342,,,,,
B032-01,1348,,,,,
Q458-ZN01,1855,Yes,Seasonal,,,
X102,1956,,,,,
Q362,1820,,,,,
X092-ZN04,1951,,,,,
Q099-17,1728,Yes,No gas,Yes,Capital,
M107-01,1600,,,,,
B315,1496,Yes,Seasonal,,,
Q300-04,1775,,,,,
B166D,1413,,,,,
Q102-ZN01,2054,,,,,
B137,1399,,,,,
B159-01,1409,,,,,
B163,1411,,,,,
B073-ZN20,2057,,,,,
B250,1458,,,,,
Q398,1836,,,,,
M104-ZN02,1596,,,,,
M216,1630,,,,,
R035,1871,,,Yes,Construction,
B102,1383,,,,,
Q300A1,1777,Yes,No gas,,,
B214-01,1433,,,,,
B218,1436,,,,,
M098-ZN01,1593,,,,,
Q127,1749,,,,,
B259,1464,,,,,
B284,1478,,,,,
R015,1861,,,,,
B167,1414,,,,,
B262,1466,Yes,No Power,,,
M077-04,1583,,,,,
Q031,1708,,,,,
B357,1513,,,,,
X170,1990,,,,,
X092-06,1947,,,,,
R028,1866,,,Yes,Closed permanently,
M010-ZN34,1539,,,,,
X172,1992,,,,,
X045-01,1939,,,,,
B258,1463,,,,,
X010-ZN03,1917,,,,,
M230,1637,,,,,
B269,1472,,,,,
M072-01,1579,,,,,
X219,2015,,,,,
X156,1979,,,,,
B337,1504,,,,,
Q162J,1757,,,,,
B301,1488,,,,,
B139,1400,,,Yes,Repairs,
R061,1881,,,,,
Q099-ZN25,1736,,,,,
B066,1365,,,,,
X039-ZN02,1931,,,,,
Q015-08,1689,,,,,
B342,1506,,,,,
M082,1588,,,,,
Q012B,1682,,,,,
Q338,1799,,,,,
X085,1944,,,,,
B042,1351,,,,,
X010-10,1912,,,,,
M104-ZN02,1597,,,,,
M198,1623,,,,,
M256,1650,,,,,
R114,1898,,,,,
X175,1994,,,,,
X146,1973,,,,,
B364,1517,,,,,
B088,1381,,,,,
B050,1353,,,,,
B169-ZN07C,1423,Yes,Seasonal,,,
B297,1485,,,,,
X092-ZN02,1949,,,,,
B264,1468,,,,,
M160,1614,,,,,
M105,1599,,,,,
R031-ZN02,1867,Yes,Seasonal,Yes,No Power,
Q141,1754,,,,,
Q397,1835,,,,,
M161,1615,,,,,
M071-04,1571,,,,,
X092-ZN03,1950,,,,,
B131,1398,,,,,
M391-ZN01,1658,,,,,
B169-ZN05B,1420,Yes,No heat,,,
M010-ZN18&19,1536,,,,,
B144,1404,,,,,
R085,1891,,,,,
Q293,1773,,,,,
Q226-01,1771,,,,,
B244,1454,Yes,No power,,,
X190,2002,,,,,
M360-ZN01,1656,,,,,
B079,1375,,,,,
B028-03,1346,,,,,
B073-ZN23,2045,,,,,
Q163-ZN07B,1762,Yes,Seasonal,,,
M045,1563,,,,,
X002-14,1904,,,,,
X033-ZN02,1927,,,Yes,Abandoned,
Q305,1781,,,,,
Q428,1849,,,,,
B028-ZN01,1347,,,,,
X179,1998,,,,,
M219,1632,,,,,
B234,1449,Yes,No heat,,,
X221,2016,,,,,
B372,1519,,,,,
Q099-01,1726,,,,,
Q303,1780,,,,,
Q361,1819,,,,,
X002-07,1903,,,,,
Q089B-01,1723,Yes,No Heat,,,
Q006-01,1677,,,,,
Q011,1681,,,,,
Q010A-ZN02,2047,Yes,No Heat,,,
Q015-ZN05,1691,Yes,Seasonal,,,
Q048-01,1712,Yes,No Heat,,,
Q407,1841,,,,,
Q009-01,1680,,,Yes,Repairs,
B251-04,1459,,,,,
Q021-ZN01,1699,Yes,No Heat,,,
X123,1968,,,,,
Q118,1744,,,,,
Q104-01,1739,,,Yes,Capital,
B359,1515,,,,,
Q001-99,1660,Yes,No Heat,,,
Q373,1826,Yes,No Heat,,,
B321,1499,,,,,
Q218,1768,,,Yes,Capital,
B243,1453,Yes,No Heat,,,
X222,2017,,,,,
Q357B,1813,,,,,
X042,1937,,,,,
M077-02,1581,,,,,
Q162H,1756,,,,,
Q024-ZN02,1705,,,,,
B286,1480,,,,,
Q415,1843,,,,,
X178,1997,,,,,
Q205A,1764,,,,,
Q220G,2046,Yes,No Heat,,,
B158,1408,,,,,
Q052,1716,,,,,
R064,1884,,,,,
R005-ZN01,1859,,,,,
Q020-ZN02,1696,,,Yes,Repairs,
B073-ZN10,1368,,,,,
Q105,1740,,,,,
R065-ZN08,1886,,,,,
B263,1467,Yes,No Heat,,,
